Source,Actor Seg,Final Segment,Pickup,Delivery,Distinct Order Count,Product Name
WLN,Others,MSMB Others,,,873,MPLS
WLN,Others,MSMB Others,,,2819,MPLS
WLN,Others,MSMB Others,,,1725,ILL
WLN,Others,MSMB Others,,,46,SIP
WLN,Others,MSMB Others,,FTD,1,Business Broadband
WLN,Others,MSMB Others,,FTD,2,ILL
WLN,Others,MSMB Others,,FTD,2,MPLS
WLN,Others,MSMB Others,,FTD,6,MPLS
WLN,Others,MSMB Others,,FTD,1,SIP
WLN,Others,MSMB Others,,MTD,46,AF COCP
WLN,Others,MSMB Others,,MTD,3,Business Broadband
WLN,Others,MSMB Others,,MTD,24,ILL
WLN,Others,MSMB Others,,MTD,5,MPLS
WLN,Others,MSMB Others,,MTD,55,MPLS
WLN,Others,MSMB Others,,MTD,3,SIP
WLN,Others,MSMB Others,FTD,,1,ILL
WLN,Others,MSMB Others,MTD,,46,Business Broadband
WLN,Others,MSMB Others,MTD,,15,AF COCP
WLN,Others,MSMB Others,MTD,,10,Business Broadband
WLN,Others,MSMB Others,MTD,,3,ILL
WLN,Others,MSMB Others,MTD,,3,MPLS
WLN,Others,MSMB Others,MTD,,2,SIP
WLN,Others,MSMB Others,MTD,,33,ILL
WLN,Others,MSMB Others,MTD,,12,MPLS
WLN,Others,MSMB Others,MTD,,144,MPLS
WLN,Others,MSMB Others,MTD,,15,SIP
WLN,Others,MSMB Others,MTD,MTD,2,AF COCP
WLN,Others,MSMB Others,MTD,MTD,31,Business Broadband
WLN,Others,MSMB Others,MTD,MTD,1,Tollfree
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,23,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,MTD,2,Mobility Voice
WLS,Others,MSMB Others,,MTD,2,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility IoT
WLS,Others,MSMB Others,,,4,Mobility IoT
WLS,Others,MSMB Others,,,80,Mobility IoT
WLS,Others,MSMB Others,,,200,Mobility IoT
WLS,Direct,MSMB Direct,,MTD,5,Mobility Voice
WLS,Direct,MSMB Direct,,,9,Mobility Voice
WLS,Direct,MSMB Direct,,,17,Mobility Voice
WLS,Direct,MSMB Direct,,,13,Mobility Voice
WLS,Others,MSMB Others,,,7,Mobility Voice
WLS,Others,MSMB Others,,MTD,8,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,8,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,5,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,,10,Mobility Voice
WLS,Direct,MSMB Direct,,,14,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
